time,open,high,low,close,tick_volume,spread,real_volume
2024-09-17 20:45:00,1.11127,1.11169,1.11121,1.11162,663,1,0
2024-09-17 21:00:00,1.11162,1.1118999999999999,1.11155,1.1118,701,1,0
2024-09-17 21:15:00,1.11179,1.11187,1.11159,1.11172,741,1,0
2024-09-17 21:30:00,1.11171,1.11211,1.11167,1.1121,589,1,0
2024-09-17 21:45:00,1.1121,1.11228,1.11199,1.11224,695,1,0
2024-09-17 22:00:00,1.11224,1.11236,1.11197,1.11208,571,1,0
2024-09-17 22:15:00,1.11209,1.11218,1.11177,1.1118,557,1,0
2024-09-17 22:30:00,1.11181,1.11187,1.11151,1.11161,618,1,0
2024-09-17 22:45:00,1.11163,1.11166,1.11148,1.11159,682,1,0
2024-09-17 23:00:00,1.1116,1.11167,1.11152,1.11165,432,1,0
2024-09-17 23:15:00,1.11164,1.11169,1.11154,1.11155,422,1,0
2024-09-17 23:30:00,1.11156,1.11164,1.11133,1.11137,221,1,0
2024-09-17 23:45:00,1.11137,1.11144,1.11126,1.11132,230,1,0
2024-09-18 00:00:00,1.11136,1.11157,1.11131,1.11143,117,14,0
2024-09-18 00:15:00,1.11144,1.11145,1.11133,1.11141,140,11,0
2024-09-18 00:30:00,1.11141,1.11147,1.11141,1.11144,73,6,0
2024-09-18 00:45:00,1.11143,1.11144,1.1113,1.1113,37,9,0
2024-09-18 01:00:00,1.11142,1.11151,1.11137,1.11151,105,1,0
2024-09-18 01:15:00,1.1115,1.11163,1.1114600000000001,1.11158,95,1,0
2024-09-18 01:30:00,1.1116,1.11178,1.11159,1.11178,110,1,0
2024-09-18 01:45:00,1.11176,1.11188,1.11174,1.11181,88,1,0
2024-09-18 02:00:00,1.11182,1.11194,1.11181,1.11194,108,1,0
2024-09-18 02:15:00,1.11193,1.11222,1.11193,1.11221,89,1,0
2024-09-18 02:30:00,1.1122,1.11238,1.11218,1.11238,211,1,0
2024-09-18 02:45:00,1.11239,1.11239,1.11221,1.11221,167,1,0
2024-09-18 03:00:00,1.11222,1.11242,1.11217,1.1123,339,1,0
2024-09-18 03:15:00,1.1123,1.11249,1.11226,1.1124,337,1,0
2024-09-18 03:30:00,1.1124,1.11241,1.11223,1.11228,242,1,0
2024-09-18 03:45:00,1.1123,1.11287,1.11221,1.1127,561,1,0
2024-09-18 04:00:00,1.1127,1.11287,1.11262,1.11262,578,1,0
2024-09-18 04:15:00,1.11263,1.11305,1.11262,1.11264,363,1,0
